through_month,cumulative_base_std_mean,cumulative_base_std_q05,cumulative_base_std_q50,cumulative_base_std_q95,incremental_base_sales_mean,incremental_base_sales_q05,incremental_base_sales_q95
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.22204575877219168,0.141695458102636,0.21983983308141325,0.307937503238315,39968.2365789945,25505.182458474483,55428.7505828967
12,0.3690050865904491,0.22739198826556295,0.3605795108287535,0.537140190191932,66420.91558628084,40930.55788780133,96685.23423454777
24,0.43544970936275673,0.25039165574862965,0.41650429203038086,0.689265229266896,78380.94768529621,45070.498034753335,124067.74126804128
36,0.4458115023968537,0.2523930064872835,0.4224988903651593,0.7273717099324497,80246.07043143366,45430.741167711036,130926.90778784094
